Product_Name,Category,bs_year,bs_month,month_idx,month_name,Volume,Min_Price,Max_Price,Avg_Price,Unit,unit_canonical,unit_changed,Total_Amount,Volume_Equals,TOTAL_sources,reconciliation_gap,import_share,n_months_present,is_balanced,Baglung,Bara,Beni,Bhutan,Birgunj,China,Dang,Dhading,Gorkha,Hetauda,India,Jhapa,Kathmandu,Kevray,Lahan,Lamjung,Local,Marpha,Mugu,Mustang,Myagdi,Narayangadh,Nawalparasi,Nuwakot,Palpa,Parbat,Rolpa,Rukum,Rupandehi,Salyan,Sarlahi,Sindhuli,Sunsari,Syangja,Tanahu
Apple,fruit,2082,11,8,falgun,221540,225.0,330.0,255.0,kg,kg,False,56492700.0,True,221540,0,1.0,10,True,0,0,0,0,0,221540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,fruit,2082,12,9,chaitra,309170,225.0,330.0,255.0,kg,kg,False,78838350.0,True,309170,0,1.0,10,True,0,0,0,0,0,295920,0,0,0,0,13250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple,fruit,2083,1,10,baishakh,326790,225.0,350.0,266.3,kg,kg,False,87024177.0,True,326790,0,1.0,10,True,0,0,0,0,0,326790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,4,1,shrawan,0,130.0,330.0,289.2,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,6,3,ashwin,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,8,5,mangsir,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,10,7,magh,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,11,8,falgun,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2082,12,9,chaitra,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple_Fuji,fruit,2083,1,10,baishakh,0,270.0,330.0,300.0,kg,kg,False,0.0,True,0,0,,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arum,vegetable,2082,4,1,shrawan,6009,100.0,120.0,110.0,kg,kg,False,660990.0,True,6009,0,0.6322183391579298,10,True,0,0,0,0,150,0,0,0,0,0,3799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0
Arum,vegetable,2082,5,2,bhadra,9385,100.0,120.0,110.0,kg,kg,False,1032350.0,True,9385,0,0.8955780500799148,10,True,0,0,0,0,210,0,0,0,0,0,8405,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0
Arum,vegetable,2082,6,3,ashwin,10750,60.0,80.0,70.0,kg,kg,False,752500.0,True,10750,0,0.6753488372093023,10,True,0,0,0,0,210,0,0,0,0,0,7260,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arum,vegetable,2082,7,4,kartik,42060,60.0,80.0,65.26,kg,kg,False,2744835.6,True,42060,0,0.1419400855920114,10,True,0,0,0,0,0,0,0,790,5790,0,5970,0,0,0,0,0,11630,0,0,0,0,15740,0,0,0,0,0,0,0,0,0,0,0,0,2140
Arum,vegetable,2082,8,5,mangsir,56424,60.0,80.0,73.95,kg,kg,False,4172554.8,True,56424,0,0.0,10,True,0,0,0,0,0,0,0,3780,6360,0,0,0,0,0,0,0,14580,0,0,0,0,12434,15120,2060,0,0,0,0,0,0,0,0,0,0,2090
Arum,vegetable,2082,9,6,poush,40610,60.0,80.0,70.0,kg,kg,False,2842700.0,True,40610,0,0.0,10,True,0,0,0,0,0,0,0,2500,6505,520,0,0,0,0,0,0,17820,0,0,0,0,7745,2710,0,0,0,0,0,0,0,1120,0,0,0,1690
Arum,vegetable,2082,10,7,magh,6070,60.0,80.0,70.0,kg,kg,False,424900.0,True,6070,0,0.0,10,True,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,4360,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
